MAC1,MAC2,MAC3,MAC4,MAC5,MAC6,MAC7,MAC8,MAC9,MAC10,MAC11,MAC12,MAC13,MAC14,MAC15,MAC16,MAC17,MAC18,MAC19,MAC20,MAC21,MAC22,MAC23,MAC24,MAC25,MAC26,MAC27,MAC28,MAC29,MAC30,MAC31,MAC32,MAC33,MAC34,MAC35,MAC36,MAC37,MAC38,MAC39,MAC40,MAC41,MAC42,MAC43,MAC44,MAC45,MAC46,MAC47,MAC48,MAC49,MAC50,MAC51,MAC52,MAC53,MAC54,MAC55,MAC56,MAC57,MAC58,MAC59,MAC60,MAC61,MAC62,MAC63,MAC64,MAC65,MAC66,MAC67,MAC68,MAC69,MAC70,MAC71,MAC72,MAC73,MAC74,MAC75,MAC76,MAC77,MAC78,MAC79,MAC80,MAC81,MAC82,MAC83,MAC84,MAC85,MAC86,MAC87,MAC88,MAC89,MAC90,MAC91,MAC92,MAC93,MAC94,MAC95,MAC96,MAC97,MAC98,MAC99,MAC100,MAC101,MAC102,MAC103,MAC104,MAC105,MAC106,MAC107,MAC108,MAC109,MAC110,MAC111,MAC112,MAC113,MAC114,MAC115,MAC116,MAC117,MAC118,MAC119,MAC120,MAC121,MAC122,MAC123,MAC124,MAC125,MAC126,MAC127,MAC128,MAC129,MAC130,MAC131,MAC132,MAC133,MAC134,MAC135,MAC136,MAC137,MAC138,MAC139,MAC140,MAC141,MAC142,MAC143,MAC144,MAC145,MAC146,MAC147,MAC148,MAC149,MAC150,MAC151,MAC152,MAC153,MAC154,MAC155,MAC156,MAC157,MAC158,MAC159,MAC160,MAC161,MAC162,MAC163,MAC164,MAC165,MAC166,MAC167,MAC168,MAC169,MAC170,MAC171,MAC172,MAC173,MAC174,MAC175,MAC176,MAC177,MAC178,MAC179,MAC180,MAC181,MAC182,MAC183,MAC184,MAC185,MAC186,MAC187,MAC188,MAC189,MAC190,MAC191,MAC192,MAC193,MAC194,MAC195,MAC196,MAC197,MAC198,MAC199,MAC200,MAC201,MAC202,MAC203,MAC204,MAC205,MAC206,MAC207,MAC208,MAC209,MAC210,MAC211,MAC212,MAC213,MAC214,MAC215,MAC216,MAC217,MAC218,MAC219,MAC220,MAC221,MAC222,MAC223,MAC224,MAC225,MAC226,MAC227,MAC228,MAC229,MAC230,MAC231,MAC232,MAC233,MAC234,MAC235,MAC236,MAC237,MAC238,MAC239,MAC240,MAC241,MAC242,MAC243,MAC244,MAC245,MAC246,MAC247,MAC248,MAC249,MAC250,MAC251,MAC252,MAC253,MAC254,MAC255,MAC256,MAC257,MAC258,MAC259,MAC260,MAC261,MAC262,MAC263,MAC264,MAC265,MAC266,MAC267,MAC268,MAC269,MAC270,MAC271,MAC272,MAC273,MAC274,MAC275,MAC276,MAC277,MAC278,MAC279,MAC280,MAC281,MAC282,MAC283,MAC284,MAC285,MAC286,MAC287,MAC288,MAC289,MAC290,MAC291,MAC292,MAC293,MAC294,MAC295,MAC296,MAC297,MAC298,MAC299,MAC300,MAC301,MAC302,MAC303,MAC304,MAC305,MAC306,MAC307,MAC308,MAC309,MAC310,MAC311,MAC312,MAC313,MAC314,MAC315,MAC316,MAC317,MAC318,MAC319,MAC320,MAC321,MAC322,MAC323,MAC324,MAC325,MAC326,MAC327,MAC328,MAC329,MAC330,MAC331,MAC332,MAC333,MAC334,MAC335,MAC336,MAC337,MAC338,MAC339,MAC340,MAC341,MAC342,MAC343,MAC344,MAC345,MAC346,MAC347,MAC348,MAC349,MAC350,MAC351,MAC352,MAC353,MAC354,MAC355,MAC356,MAC357,MAC358,MAC359,MAC360,MAC361,MAC362,MAC363,ECoord,NCoord,FloorID,BuildingID,SceneID,UserID,PhoneID,SampleTimes
100,-64,100,-60,100,-75,100,100,-47,100,-55,-34,100,-64,100,100,100,-47,-62,-33,100,-59,100,-56,-58,-66,100,100,-60,100,100,-57,-57,-47,-65,-46,-83,-65,-57,-59,100,100,-72,100,100,-67,-43,100,-64,100,100,100,100,100,100,-40,100,100,100,100,-80,100,100,-54,-65,100,-33,100,100,100,100,100,100,100,-53,100,-51,-80,-36,100,-57,-44,-68,-56,-67,-82,100,100,100,-53,100,100,100,100,100,100,100,100,-80,100,-53,-79,100,100,-59,100,100,-59,100,-77,-80,100,100,100,100,100,100,100,100,-55,100,100,100,100,100,-72,100,-59,100,100,100,-80,-80,100,-71,100,100,100,100,-79,-86,100,100,100,100,100,100,100,100,-82,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-74,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,30.42,8.64,4,3,1,1,1,7
100,-64,100,-60,100,-75,100,100,-47,100,-55,-34,100,-64,100,100,100,-47,-62,-33,100,-59,100,-56,-58,-66,100,100,-60,100,100,-57,-57,-47,-65,-46,-83,-65,-57,-59,100,100,-72,100,100,-67,-43,100,-64,100,100,100,100,100,100,-40,100,100,100,100,-80,100,100,-54,-65,100,-33,100,100,100,100,100,100,100,-53,100,-51,-80,-36,100,-57,-44,-68,-56,-67,-82,100,100,100,-53,100,100,100,100,100,100,100,100,-80,100,-53,-79,100,100,-59,100,100,-59,100,-77,-80,100,100,100,100,100,100,100,100,-55,100,100,100,100,100,-72,100,-59,100,100,100,-80,-80,100,-71,100,100,100,100,-79,-86,100,100,100,100,100,100,100,100,-82,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-74,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,30.42,8.64,4,3,1,1,1,8
100,-64,100,-60,100,-75,100,100,-47,100,-55,-34,100,-64,100,100,100,-47,-62,-33,100,-59,100,-56,-58,-66,100,100,-60,100,100,-57,-57,-47,-65,-46,-83,-65,-57,-59,100,100,-72,100,100,-67,-43,100,-64,100,100,100,100,100,100,-40,100,100,100,100,-80,100,100,-54,-65,100,-33,100,100,100,100,100,100,100,-53,100,-51,-80,-36,100,-57,-44,-68,-56,-67,-82,100,100,100,-53,100,100,100,100,100,100,100,100,-80,100,-53,-79,100,100,-59,100,100,-59,100,-77,-80,100,100,100,100,100,100,100,100,-55,100,100,100,100,100,-72,100,-59,100,100,100,-80,-80,100,-71,100,100,100,100,-79,-86,100,100,100,100,100,100,100,100,-82,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-74,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,30.42,8.64,4,3,1,1,1,9
100,-64,100,-60,100,-75,100,100,-47,100,-55,-34,100,-64,100,100,100,-47,-62,-33,100,-59,100,-56,-58,-66,100,100,-60,100,100,-57,-57,-47,-65,-45,-83,-65,-57,-59,100,100,-72,100,100,-67,-43,100,-64,100,100,100,100,100,100,-40,100,100,100,100,-80,100,100,-54,-65,100,-33,100,100,100,100,100,100,100,-53,100,-51,-80,-36,100,-57,-44,-68,-56,-67,-82,100,100,100,-53,100,100,100,100,100,100,100,100,-80,100,-53,-79,100,100,-59,100,100,-59,100,-77,-80,100,100,100,100,100,100,100,100,-55,100,100,100,100,100,-72,100,-59,100,100,100,-80,-80,100,-71,100,100,100,100,-79,-86,100,100,100,100,100,100,100,100,-82,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-74,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,30.42,8.64,4,3,1,1,1,10
100,-57,100,-63,100,100,100,-64,-58,100,-55,-43,-71,-70,100,100,100,-50,-59,-34,100,-68,-60,-52,-69,-61,100,100,-61,100,100,-53,-62,-45,-66,-48,100,-61,-55,-61,100,100,-71,100,100,-66,-49,100,100,100,100,-70,-72,100,100,-37,100,100,100,100,-79,100,100,-65,-60,100,-41,-66,100,100,100,-69,100,100,-63,-70,-65,-76,-38,-74,-44,-45,-71,-60,-60,100,100,100,-69,100,100,100,100,100,100,100,100,100,-80,-64,-66,100,100,100,-62,-79,-71,100,-70,-68,-81,-55,100,100,-73,100,-70,-70,-79,-53,-74,100,100,100,100,100,100,100,100,100,100,-89,100,100,100,100,100,100,100,100,100,100,-78,100,100,100,100,100,-81,100,100,100,100,100,100,100,-80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,31.63,10.45,4,3,1,1,1,1
100,-57,100,-63,100,100,100,-64,-58,100,-55,-43,-71,-70,100,100,100,-50,-59,-34,100,-68,-60,-52,-69,-61,100,100,-61,100,100,-53,-62,-45,-66,-48,100,-61,-55,-61,100,100,-71,100,100,-66,-49,100,100,100,100,-70,-72,100,100,-37,100,100,100,100,-79,100,100,-65,-60,100,-41,-66,100,100,100,-69,100,100,-63,-70,-65,-76,-38,-74,-44,-45,-71,-60,-60,100,100,100,-69,100,100,100,100,100,100,100,100,100,-80,-64,-66,100,100,100,-62,-79,-71,100,-70,-68,-81,-55,100,100,-73,100,-70,-70,-79,-53,-74,100,100,100,100,100,100,100,100,100,100,-89,100,100,100,100,100,100,100,100,100,100,-78,100,100,100,100,100,-81,100,100,100,100,100,100,100,-80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,31.63,10.45,4,3,1,1,1,2
100,-57,100,-63,100,100,100,-64,-58,100,-55,-43,-71,-70,100,100,100,-50,-59,-34,100,-68,-60,-52,-69,-61,100,100,-61,100,100,-53,-62,-45,-66,-48,100,-61,-55,-61,100,100,-71,100,100,-66,-49,100,100,100,100,-70,-72,100,100,-37,100,100,100,100,-79,100,100,-65,-60,100,-41,-66,100,100,100,-69,100,100,-63,-70,-65,-76,-38,-74,-44,-45,-71,-60,-60,100,100,100,-69,100,100,100,100,100,100,100,100,100,-80,-64,-66,100,100,100,-62,-79,-71,100,-70,-68,-81,-55,100,100,-73,100,-70,-70,-79,-53,-74,100,100,100,100,100,100,100,100,100,100,-89,100,100,100,100,100,100,100,100,100,100,-78,100,100,100,100,100,-81,100,100,100,100,100,100,100,-80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,31.63,10.45,4,3,1,1,1,3
100,-57,100,-63,100,100,100,-64,-58,100,-55,-43,-71,-70,100,100,100,-50,-59,-34,100,-68,-60,-52,-69,-61,100,100,-61,100,100,-53,-62,-45,-66,-48,100,-61,-55,-61,100,100,-71,100,100,-66,-49,100,100,100,100,-70,-72,100,100,-37,100,100,100,100,-79,100,100,-65,-60,100,-41,-66,100,100,100,-69,100,100,-63,-70,-65,-76,-38,-74,-44,-45,-71,-60,-60,100,100,100,-69,100,100,100,100,100,100,100,100,100,-80,-64,-66,100,100,100,-62,-79,-71,100,-70,-68,-81,-55,100,100,-73,100,-70,-70,-79,-53,-74,100,100,100,100,100,100,100,100,100,100,-89,100,100,100,100,100,100,100,100,100,100,-78,100,100,100,100,100,-81,100,100,100,100,100,100,100,-80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,31.63,10.45,4,3,1,1,1,4
100,-57,100,-63,100,100,100,-64,-58,100,-55,-43,-71,-70,100,100,100,-50,-59,-34,100,-68,-60,-52,-69,-61,100,100,-61,100,100,-53,-62,-45,-66,-48,100,-61,-55,-61,100,100,-71,100,100,-66,-49,100,100,100,100,-70,-72,100,100,-37,100,100,100,100,-79,100,100,-65,-60,100,-41,-66,100,100,100,-69,100,100,-63,-70,-65,-76,-38,-74,-44,-45,-71,-60,-60,100,100,100,-69,100,100,100,100,100,100,100,100,100,-80,-64,-66,100,100,100,-62,-79,-71,100,-70,-68,-81,-55,100,100,-73,100,-70,-70,-79,-53,-74,100,100,100,100,100,100,100,100,100,100,-89,100,100,100,100,100,100,100,100,100,100,-78,100,100,100,100,100,-81,100,100,100,100,100,100,100,-80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,31.63,10.45,4,3,1,1,1,5
100,-57,100,-63,100,100,100,-64,-58,100,-55,-43,-71,-70,100,100,100,-50,-59,-34,100,-68,-60,-52,-69,-61,100,100,-61,100,100,-53,-62,-45,-66,-48,100,-61,-55,-61,100,100,-71,100,100,-66,-49,100,100,100,100,-70,-72,100,100,-37,100,100,100,100,-79,100,100,-65,-60,100,-41,-66,100,100,100,-69,100,100,-63,-70,-65,-76,-38,-74,-44,-45,-71,-60,-60,100,100,100,-69,100,100,100,100,100,100,100,100,100,-80,-64,-66,100,100,100,-62,-79,-71,100,-70,-68,-81,-55,100,100,-73,100,-70,-70,-79,-53,-74,100,100,100,100,100,100,100,100,100,100,-89,100,100,100,100,100,100,100,100,100,100,-78,100,100,100,100,100,-81,100,100,100,100,100,100,100,-80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,31.63,10.45,4,3,1,1,1,6
100,-57,100,-63,100,100,100,-64,-58,100,-55,-43,-71,-70,100,100,100,-50,-59,-34,100,-68,-60,-52,-69,-61,100,100,-61,100,100,-53,-62,-45,-66,-48,100,-61,-55,-61,100,100,-71,100,100,-66,-49,100,100,100,100,-70,-72,100,100,-37,100,100,100,100,-79,100,100,-65,-60,100,-41,-66,100,100,100,-69,100,100,-63,-70,-65,-76,-38,-74,-44,-45,-71,-60,-60,100,100,100,-69,100,100,100,100,100,100,100,100,100,-80,-64,-66,100,100,100,-62,-79,-71,100,-70,-68,-81,-55,100,100,-73,100,-70,-70,-79,-53,-74,100,100,100,100,100,100,100,100,100,100,-89,100,100,100,100,100,100,100,100,100,100,-78,100,100,100,100,100,-81,100,100,100,100,100,100,100,-80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,31.63,10.45,4,3,1,1,1,7
100,-57,100,-63,100,100,100,-64,-58,100,-55,-43,-71,-70,100,100,100,-50,-59,-34,100,-68,-60,-52,-69,-61,100,100,-61,100,100,-53,-62,-45,-66,-48,100,-61,-55,-61,100,100,-71,100,100,-66,-49,100,100,100,100,-70,-72,100,100,-37,100,100,100,100,-79,100,100,-65,-60,100,-41,-66,100,100,100,-69,100,100,-63,-70,-65,-76,-38,-74,-44,-45,-71,-60,-60,100,100,100,-69,100,100,100,100,100,100,100,100,100,-80,-64,-66,100,100,100,-62,-79,-71,100,-70,-68,-81,-55,100,100,-73,100,-70,-70,-79,-53,-74,100,100,100,100,100,100,100,100,100,100,-89,100,100,100,100,100,100,100,100,100,100,-78,100,100,100,100,100,-81,100,100,100,100,100,100,100,-80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,31.63,10.45,4,3,1,1,1,8
100,-57,100,-63,100,100,100,-64,-58,100,-55,-43,-71,-70,100,100,100,-50,-59,-34,100,-68,-60,-52,-69,-61,100,100,-61,100,100,-53,-62,-45,-66,-48,100,-61,-55,-61,100,100,-71,100,100,-66,-49,100,100,100,100,-70,-72,100,100,-37,100,100,100,100,-79,100,100,-65,-60,100,-41,-66,100,100,100,-69,100,100,-63,-70,-65,-76,-38,-74,-44,-45,-71,-60,-60,100,100,100,-69,100,100,100,100,100,100,100,100,100,-80,-64,-66,100,100,100,-62,-79,-71,100,-70,-68,-81,-55,100,100,-73,100,-70,-70,-79,-53,-74,100,100,100,100,100,100,100,100,100,100,-89,100,100,100,100,100,100,100,100,100,100,-78,100,100,100,100,100,-81,100,100,100,100,100,100,100,-80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,31.63,10.45,4,3,1,1,1,9
100,-57,100,-63,100,100,100,-64,-58,100,-55,-43,-71,-70,100,100,100,-50,-59,-34,100,-68,-60,-52,-69,-61,100,100,-61,100,100,-53,-62,-45,-66,-48,100,-61,-55,-61,100,100,-71,100,100,-66,-49,100,100,100,100,-70,-72,100,100,-37,100,100,100,100,-79,100,100,-65,-60,100,-41,-66,100,100,100,-69,100,100,-63,-70,-65,-76,-38,-74,-44,-45,-71,-60,-60,100,100,100,-69,100,100,100,100,100,100,100,100,100,-80,-64,-66,100,100,100,-62,-79,-71,100,-70,-68,-81,-55,100,100,-73,100,-70,-70,-79,-53,-74,100,100,100,100,100,100,100,100,100,100,-89,100,100,100,100,100,100,100,100,100,100,-78,100,100,100,100,100,-81,100,100,100,100,100,100,100,-80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,31.63,10.45,4,3,1,1,1,10
